crsp_fundno,date,mtna,mret,mnav,ticker,tm
29873,29dec2006,1307.1,.0046367,39.29,"TVAFX",2006m12
29873,31jan2007,1378.1,.0374141,40.76,"TVAFX",2007m1
29873,28feb2007,1412.2,-.0208538,39.91,"TVAFX",2007m2
29873,30mar2007,1455.2,.0122614,40.34,"TVAFX",2007m3
29873,30apr2007,1501.9,.0218146,41.22,"TVAFX",2007m4
29873,31may2007,1517.7,.0436681,43.02,"TVAFX",2007m5
29873,29jun2007,1516.3,.0002398,43,"TVAFX",2007m6
29873,31jul2007,1464.9,-.0304651,41.69,"TVAFX",2007m7
29873,31aug2007,1499,.0115136,42.17,"TVAFX",2007m8
29873,28sep2007,1598.8,.0498054,44.17,"TVAFX",2007m9
29873,31oct2007,1651.2,.0106407,44.64,"TVAFX",2007m10
29873,30nov2007,1570.7,-.0473062,38.45,"TVAFX",2007m11
29873,31dec2007,1569.8,-.0237786,37.53,"TVAFX",2007m12
29873,31jan2008,1442.5,-.0719424,34.83,"TVAFX",2008m1
29873,29feb2008,1385.8,-.0387597,33.48,"TVAFX",2008m2
29873,31mar2008,1362.8,-.0091126,33.16,"TVAFX",2008m3
29873,30apr2008,1403.7,.0340772,34.29,"TVAFX",2008m4
29873,30may2008,1430.5,.0224555,35.06,"TVAFX",2008m5
29873,30jun2008,1308.2,-.0801557,32.19,"TVAFX",2008m6
29873,31jul2008,1268.9,-.0158434,31.68,"TVAFX",2008m7
29873,29aug2008,1248.1,-.0072601,31.45,"TVAFX",2008m8
29873,30sep2008,1090.3,-.1072468,28.02,"TVAFX",2008m9
29873,31oct2008,879,-.1916488,22.65,"TVAFX",2008m10
29873,28nov2008,857.4,-.0710817,21.04,"TVAFX",2008m11
29873,31dec2008,922.1,.0378351,21.73,"TVAFX",2008m12
29873,30jan2009,836.3,-.0759319,20.08,"TVAFX",2009m1
29873,27feb2009,737.7,-.0906375,18.26,"TVAFX",2009m2
29873,31mar2009,756.8,.0913074,19.84,"TVAFX",2009m3
29873,30apr2009,867.1,.1607863,23.03,"TVAFX",2009m4
29873,29may2009,950.8,.0929223,25.17,"TVAFX",2009m5
29873,30jun2009,1003.8,.025041,25.71,"TVAFX",2009m6
29873,31jul2009,1078.9,.0684559,27.47,"TVAFX",2009m7
29873,31aug2009,1145.3,.0487805,28.81,"TVAFX",2009m8
29873,30sep2009,1204.5,.0337,29.66,"TVAFX",2009m9
29873,30oct2009,1170.1,-.0296696,28.78,"TVAFX",2009m10
29873,30nov2009,1225.4,.0496873,30.21,"TVAFX",2009m11
29873,31dec2009,1259.3,.0324104,31.07,"TVAFX",2009m12
29873,29jan2010,1253.6,-.0292887,30.16,"TVAFX",2010m1
29873,26feb2010,1283.2,.0208886,30.79,"TVAFX",2010m2
29873,31mar2010,1360.3,.0576204,32.54,"TVAFX",2010m3
29873,30apr2010,1374.5,.0079902,32.8,"TVAFX",2010m4
29873,28may2010,1214.7,-.0890244,29.88,"TVAFX",2010m5
29873,30jun2010,1122.5,-.0572431,28.16,"TVAFX",2010m6
29873,30jul2010,1160.3,.0603693,29.86,"TVAFX",2010m7
29873,31aug2010,1071.8,-.0569324,28.16,"TVAFX",2010m8
29873,30sep2010,1135.1,.0817789,30.44,"TVAFX",2010m9
29873,29oct2010,1140.7,.0387648,31.62,"TVAFX",2010m10
29873,30nov2010,1102.4,-.0158128,31.12,"TVAFX",2010m11
29873,31dec2010,1174,.0877249,33.85,"TVAFX",2010m12
29873,31jan2011,1212.3,.048449,35.49,"TVAFX",2011m1
29873,28feb2011,1270.8,.0487461,37.22,"TVAFX",2011m2
29873,31mar2011,1246.2,-.0083289,36.91,"TVAFX",2011m3
29873,29apr2011,1227.6,.0024384,37,"TVAFX",2011m4
29873,31may2011,1196.9,-.0127027,36.53,"TVAFX",2011m5
29873,30jun2011,1136.6,-.0213523,35.75,"TVAFX",2011m6
29873,29jul2011,1081.4,-.0268531,34.79,"TVAFX",2011m7
29873,31aug2011,932.8,-.1167002,30.73,"TVAFX",2011m8
29873,30sep2011,826.3,-.0982753,27.71,"TVAFX",2011m9
29873,31oct2011,778.5,.1172862,30.96,"TVAFX",2011m10
29873,30nov2011,726.9,-.0377907,29.79,"TVAFX",2011m11
29873,30dec2011,687.7,-.0164485,29.3,"TVAFX",2011m12
29873,31jan2012,711.8,.068942,31.32,"TVAFX",2012m1
29873,29feb2012,739.2,.0648148,33.35,"TVAFX",2012m2
29873,30mar2012,747.5,.02009,34.02,"TVAFX",2012m3
29873,30apr2012,700.3,-.0414462,32.61,"TVAFX",2012m4
29873,31may2012,590.5,-.1287948,28.41,"TVAFX",2012m5
29873,29jun2012,582.4,.0373108,29.47,"TVAFX",2012m6
29873,31jul2012,529.6,-.0118765,29.12,"TVAFX",2012m7
29873,31aug2012,494.1,.0384615,30.24,"TVAFX",2012m8
29873,28sep2012,472.7,.0419974,31.51,"TVAFX",2012m9
29873,31oct2012,431.4,-.0171374,30.97,"TVAFX",2012m10
29873,30nov2012,413.3,.0171133,31.5,"TVAFX",2012m11
29873,31dec2012,401.3,.0292063,32.42,"TVAFX",2012m12
29873,31jan2013,414.3,.057372,34.28,"TVAFX",2013m1
29873,28feb2013,395.2,.0023337,34.36,"TVAFX",2013m2
29873,28mar2013,400.4,.0471478,35.98,"TVAFX",2013m3
29873,30apr2013,391.6,.020567,36.72,"TVAFX",2013m4
29873,31may2013,397.6,.0307734,37.85,"TVAFX",2013m5
29873,28jun2013,374.6,-.0277411,36.8,"TVAFX",2013m6
29873,31jul2013,390,.0611413,39.05,"TVAFX",2013m7
29873,30aug2013,381.7,-.0076825,38.75,"TVAFX",2013m8
29873,30sep2013,400.5,.0539355,40.84,"TVAFX",2013m9
29873,31oct2013,416.1,.0357493,42.3,"TVAFX",2013m10
29873,29nov2013,424.8,.0300236,43.57,"TVAFX",2013m11
29873,31dec2013,436.2,.0379056,45.16,"TVAFX",2013m12
29873,31jan2014,412.7,-.0287865,43.86,"TVAFX",2014m1
29873,28feb2014,431,.0563155,46.33,"TVAFX",2014m2
29873,31mar2014,426.3,-.0006475,46.3,"TVAFX",2014m3
29873,30apr2014,418.5,.0045356,46.51,"TVAFX",2014m4
29873,30may2014,419.2,.0180606,47.35,"TVAFX",2014m5
29873,30jun2014,424.8,.0259768,48.58,"TVAFX",2014m6
29873,31jul2014,414.1,-.016056,47.8,"TVAFX",2014m7
29873,29aug2014,412.2,.0297071,49.22,"TVAFX",2014m8
29873,30sep2014,395.4,-.0189481,48.09,"TVAFX",2014m9
29873,31oct2014,396.5,.011021,48.62,"TVAFX",2014m10
29873,28nov2014,408,.0341423,50.28,"TVAFX",2014m11
29873,31dec2014,405.8,-.002615,50.13,"TVAFX",2014m12
29873,30jan2015,395.5,-.0185518,49.2,"TVAFX",2015m1
29873,27feb2015,414.4,.0599593,52.15,"TVAFX",2015m2
29873,31mar2015,409.3,-.0053691,51.87,"TVAFX",2015m3
29873,30apr2015,416.5,.0221708,53.02,"TVAFX",2015m4
29873,29may2015,420.9,.0181064,53.98,"TVAFX",2015m5
29873,30jun2015,415.2,-.0068544,53.61,"TVAFX",2015m6
29873,31jul2015,417.7,.0132438,54.32,"TVAFX",2015m7
29873,31aug2015,396.7,-.0520987,51.49,"TVAFX",2015m8
29873,30sep2015,377.6,-.0450573,49.17,"TVAFX",2015m9
29873,30oct2015,398.1,.0597926,52.11,"TVAFX",2015m10
29873,30nov2015,396.7,.0069085,52.47,"TVAFX",2015m11
29873,31dec2015,395,-.0120069,51.84,"TVAFX",2015m12
29873,29jan2016,367.4,-.0625,48.6,"TVAFX",2016m1
29873,29feb2016,358.3,-.0222222,47.52,"TVAFX",2016m2
29873,31mar2016,377.2,.0637626,50.55,"TVAFX",2016m3
29873,29apr2016,371,.0031652,50.71,"TVAFX",2016m4
